Gene_A	Gene_B	Score
KRT6B	LGALS7	0.568
KRT6B	SERPINB4	0.569
KRT6B	SERPINB13	0.6
KRT6B	SPRR3	0.607
KRT6B	PKP1	0.628
KRT6B	S100A7	0.632
KRT6B	SPRR1A	0.665
KRT6B	SPRR1B	0.741
KRT6B	DSG3	0.786
KRT6B	KRT17	0.874
KRT6B	KRT6A	0.886
KRT6B	KRT16	0.938
C1QL1	C1QL4	0.456
BARX1	DLX1	0.41
BARX1	NKX3-2	0.652
SLCO1B1	SLCO1B3	0.403
SLCO1B1	ATP4A	0.46
SLCO1B1	SLC15A1	0.526
SLCO1B1	UGT1A7	0.796
SLCO1B1	UGT1A6	0.803
SLCO1B1	UGT1A1	0.927
DSG3	CLCA2	0.428
DSG3	KRT17	0.497
DSG3	SPRR2F	0.499
DSG3	SERPINB13	0.521
DSG3	SPRR2G	0.524
DSG3	SPRR2D	0.537
DSG3	SERPINB5	0.539
DSG3	SPRR2A	0.546
DSG3	GJB5	0.547
DSG3	SPRR2E	0.551
DSG3	RPTN	0.57
DSG3	KRT16	0.57
DSG3	TRIM29	0.641
DSG3	KRT6A	0.68
DSG3	A2ML1	0.683
DSG3	IVL	0.702
DSG3	SPRR3	0.702
DSG3	DSG4	0.711
DSG3	SPRR1A	0.713
DSG3	SPRR1B	0.77
DSG3	DSC1	0.806
DSG3	COL17A1	0.815
DSG3	DSG1	0.832
DSG3	DSC3	0.934
DSG3	PKP1	0.951
DSG1	S100A7	0.426
DSG1	SERPINB7	0.43
DSG1	KRT6A	0.455
DSG1	SBSN	0.484
DSG1	KRT16	0.507
DSG1	KLK6	0.553
DSG1	SPRR2F	0.576
DSG1	SERPINB12	0.582
DSG1	CASP14	0.592
DSG1	A2ML1	0.608
DSG1	KPRP	0.608
DSG1	SPRR2D	0.611
DSG1	RPTN	0.628
DSG1	SPRR2E	0.636
DSG1	SPRR2A	0.644
DSG1	SPRR1A	0.651
DSG1	SPRR2G	0.672
DSG1	SPRR3	0.677
DSG1	SPRR1B	0.686
DSG1	DSG4	0.724
DSG1	COL17A1	0.783
DSG1	IVL	0.799
DSG1	DSC3	0.933
DSG1	PKP1	0.994
DSG1	DSC1	0.998
DSC1	SERPINB7	0.423
DSC1	KPRP	0.432
DSC1	COL17A1	0.472
DSC1	SPRR2F	0.499
DSC1	SPRR2D	0.504
DSC1	KLK6	0.508
DSC1	SPRR2E	0.511
DSC1	A2ML1	0.533
DSC1	SPRR3	0.55
DSC1	DSC3	0.57
DSC1	SERPINB12	0.573
DSC1	SPRR2A	0.576
DSC1	RPTN	0.579
DSC1	SPRR2G	0.61
DSC1	DSG4	0.613
DSC1	CASP14	0.617
DSC1	SPRR1B	0.624
DSC1	SPRR1A	0.658
DSC1	IVL	0.752
DSC1	PKP1	0.905
TROAP	MCM10	0.405
TROAP	SGO1	0.434
TROAP	DEPDC1B	0.44
TROAP	POLQ	0.487
TROAP	DEPDC1	0.494
TROAP	SKA3	0.502
TROAP	RAD54L	0.503
TROAP	NUF2	0.514
TROAP	PBK	0.546
TROAP	CDC45	0.554
TROAP	NEIL3	0.574
TROAP	PKMYT1	0.635
TROAP	CKAP2L	0.635
TROAP	CENPA	0.656
TROAP	CDC25C	0.657
TROAP	TTK	0.658
TROAP	KIF14	0.658
TROAP	TPX2	0.676
TROAP	NEK2	0.686
TROAP	GTSE1	0.7
TROAP	CDCA2	0.705
TROAP	TICRR	0.713
TROAP	MELK	0.719
TROAP	BUB1B	0.753
TROAP	BIRC5	0.754
TROAP	ASPM	0.764
TROAP	UBE2C	0.778
TROAP	CDC20	0.827
TROAP	FOXM1	0.828
TROAP	KIF2C	0.833
TROAP	KIF4A	0.836
TROAP	AURKB	0.836
TROAP	CDCA3	0.857
TROAP	KIF18B	0.906
TROAP	HJURP	0.918
EMX1	SOX2	0.401
EMX1	OTX1	0.409
EMX1	DMRTA2	0.417
EMX1	OTX2	0.418
EMX1	DLX1	0.48
EMX1	LHX5	0.489
EMX1	PAX6	0.494
EMX1	SP8	0.501
IGF2BP3	SKA3	0.41
IGF2BP3	NUF2	0.423
IGF2BP3	ASPM	0.439
