category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Human Diseases	Infectious disease: viral	hsa05170	Human immunodeficiency virus 1 infection	3/63	212/8790	0.0141509433962264	1.9743935309973	1.22016010371159	0.19408152396251	1	1	995/810/2792	3
Human Diseases	Cardiovascular disease	hsa05417	Lipid and atherosclerosis	3/63	214/8790	0.014018691588785	1.95594125500668	1.20282715479541	0.197745239833304	1	1	810/4314/4312	3
Organismal Systems	Nervous system	hsa04725	Cholinergic synapse	2/63	115/8790	0.0173913043478261	2.42650103519669	1.30825917316906	0.199268350406663	1	1	1143/2792	2
Organismal Systems	Endocrine system	hsa04928	Parathyroid hormone synthesis, secretion and action	2/63	115/8790	0.0173913043478261	2.42650103519669	1.30825917316906	0.199268350406663	1	1	4322/1591	2
Metabolism	Global and overview maps	hsa01250	Biosynthesis of nucleotide sugars	1/63	37/8790	0.027027027027027	3.77091377091377	1.43500339254126	0.234090376536424	1	1	55586	1
Environmental Information Processing	Signal transduction	hsa04014	Ras signaling pathway	3/63	237/8790	0.0126582278481013	1.76612417118746	1.01583137071215	0.240985892935858	1	1	810/1943/2792	3
Human Diseases	Cancer: specific types	hsa05219	Bladder cancer	1/63	41/8790	0.024390243902439	3.40301974448316	1.31032062871957	0.255907787268833	1	1	4312	1
Environmental Information Processing	Signal transduction	hsa04151	PI3K-Akt signaling pathway	4/63	361/8790	0.0110803324099723	1.54597018862947	0.899998991473514	0.258956572313656	1	1	3381/1943/2792/5522	4
Cellular Processes	Cell growth and death	hsa04114	Oocyte meiosis	2/63	138/8790	0.0144927536231884	2.02208419599724	1.02819498162141	0.260146602824372	1	1	995/810	2
Organismal Systems	Endocrine system	hsa04915	Estrogen signaling pathway	2/63	138/8790	0.0144927536231884	2.02208419599724	1.02819498162141	0.260146602824372	1	1	810/3868	2
Environmental Information Processing	Signal transduction	hsa04371	Apelin signaling pathway	2/63	139/8790	0.0143884892086331	2.00753682768071	1.01728512133731	0.262813438333994	1	1	810/2792	2
Genetic Information Processing	Replication and repair	hsa03410	Base excision repair	1/63	44/8790	0.0227272727272727	3.17099567099567	1.22655796825322	0.271868357513073	1	1	55247	1
Metabolism	Glycan biosynthesis and metabolism	hsa00513	Various types of N-glycan biosynthesis	1/63	45/8790	0.0222222222222222	3.1005291005291	1.20022473170745	0.277113303028357	1	1	338707	1
Environmental Information Processing	Membrane transport	hsa02010	ABC transporters	1/63	45/8790	0.0222222222222222	3.1005291005291	1.20022473170745	0.277113303028357	1	1	26154	1
Organismal Systems	Circulatory system	hsa04261	Adrenergic signaling in cardiomyocytes	2/63	154/8790	0.012987012987013	1.81199752628324	0.863706660627438	0.302786985777862	1	1	810/5522	2
Environmental Information Processing	Signaling molecules and interaction	hsa04517	IgSF CAM signaling	3/63	298/8790	0.0100671140939597	1.4046021093001	0.603724500425606	0.360747145802562	1	1	26280/10381/57524	3
Environmental Information Processing	Signal transduction	hsa04330	Notch signaling pathway	1/63	63/8790	0.0158730158730159	2.21466364323507	0.822055876575603	0.365408222009414	1	1	10683	1
Organismal Systems	Endocrine system	hsa04929	GnRH secretion	1/63	65/8790	0.0153846153846154	2.14652014652015	0.78824853087765	0.374537877460156	1	1	84634	1
Organismal Systems	Nervous system	hsa04720	Long-term potentiation	1/63	67/8790	0.0149253731343284	2.08244491826581	0.755644959923564	0.383538242965532	1	1	810	1
Organismal Systems	Endocrine system	hsa04924	Renin secretion	1/63	69/8790	0.0144927536231884	2.02208419599724	0.724161770620906	0.392411120350346	1	1	810	1
Human Diseases	Substance dependence	hsa05031	Amphetamine addiction	1/63	69/8790	0.0144927536231884	2.02208419599724	0.724161770620906	0.392411120350346	1	1	810	1
Human Diseases	Infectious disease: viral	hsa05167	Kaposi sarcoma-associated herpesvirus infection	2/63	196/8790	0.0102040816326531	1.42371234207969	0.509693381840946	0.411866075083986	1	1	810/2792	2
Cellular Processes	Cell growth and death	hsa04115	p53 signaling pathway	1/63	75/8790	0.0133333333333333	1.86031746031746	0.63571607310301	0.418282473452211	1	1	5268	1
Organismal Systems	Endocrine system	hsa03320	PPAR signaling pathway	1/63	76/8790	0.0131578947368421	1.83583959899749	0.621768161872084	0.422487660391111	1	1	4312	1
Organismal Systems	Digestive system	hsa04971	Gastric acid secretion	1/63	76/8790	0.0131578947368421	1.83583959899749	0.621768161872084	0.422487660391111	1	1	810	1
Human Diseases	Infectious disease: bacterial	hsa05133	Pertussis	1/63	76/8790	0.0131578947368421	1.83583959899749	0.621768161872084	0.422487660391111	1	1	810	1
Human Diseases	Cancer: specific types	hsa05214	Glioma	1/63	76/8790	0.0131578947368421	1.83583959899749	0.621768161872084	0.422487660391111	1	1	810	1
Human Diseases	Infectious disease: viral	hsa05165	Human papillomavirus infection	3/63	332/8790	0.00903614457831325	1.26075731497418	0.411508889031363	0.427165311215562	1	1	3381/7015/5522	3
Metabolism	Carbohydrate metabolism	hsa00562	Inositol phosphate metabolism	1/63	78/8790	0.0128205128205128	1.78876678876679	0.594489930869734	0.430808484182819	1	1	55586	1
Environmental Information Processing	Signal transduction	hsa04015	Rap1 signaling pathway	2/63	212/8790	0.00943396226415094	1.3162623539982	0.396031679581816	0.45137186820625	1	1	810/1943	2
Human Diseases	Cancer: overview	hsa05207	Chemical carcinogenesis - receptor activation	2/63	214/8790	0.00934579439252336	1.30396083667112	0.382463196799471	0.456208844322721	1	1	1143/10683	2
Environmental Information Processing	Signaling molecules and interaction	hsa04081	Hormone signaling	2/63	219/8790	0.0091324200913242	1.27419004131333	0.349112585858368	0.468196972782904	1	1	90226/2792	2
Human Diseases	Infectious disease: bacterial	hsa05150	Staphylococcus aureus infection	1/63	88/8790	0.0113636363636364	1.58549783549784	0.468991108892905	0.4706750445695	1	1	3868	1
Environmental Information Processing	Signaling molecules and interaction	hsa04512	ECM-receptor interaction	1/63	89/8790	0.0112359550561798	1.56768325307651	0.457324028525056	0.474507206393462	1	1	3381	1
Cellular Processes	Cellular community - eukaryotes	hsa04540	Gap junction	1/63	89/8790	0.0112359550561798	1.56768325307651	0.457324028525056	0.474507206393462	1	1	10381	1
Organismal Systems	Immune system	hsa04658	Th1 and Th2 cell differentiation	1/63	90/8790	0.0111111111111111	1.55026455026455	0.445800634753819	0.47831206169713	1	1	10683	1
Human Diseases	Infectious disease: viral	hsa05163	Human cytomegalovirus infection	2/63	225/8790	0.00888888888888889	1.24021164021164	0.310119548539595	0.482380666572335	1	1	810/2792	2
Organismal Systems	Endocrine system	hsa04912	GnRH signaling pathway	1/63	93/8790	0.010752688172043	1.50025601638505	0.412056319089449	0.489564696487611	1	1	810	1
Human Diseases	Drug resistance: antineoplastic	hsa01522	Endocrine resistance	1/63	96/8790	0.0104166666666667	1.45337301587302	0.379480081806916	0.500578386386111	1	1	10683	1
Human Diseases	Infectious disease: viral	hsa05171	Coronavirus disease	2/63	234/8790	0.00854700854700855	1.19251119251119	0.253592289121129	0.50322801856861	1	1	4314/4312	2
Environmental Information Processing	Signal transduction	hsa04070	Phosphatidylinositol signaling system	1/63	98/8790	0.0102040816326531	1.42371234207969	0.358370136825885	0.507790569463822	1	1	810	1
Organismal Systems	Endocrine system	hsa04925	Aldosterone synthesis and secretion	1/63	98/8790	0.0102040816326531	1.42371234207969	0.358370136825885	0.507790569463822	1	1	810	1
Organismal Systems	Endocrine system	hsa04916	Melanogenesis	1/63	101/8790	0.0099009900990099	1.38142385667138	0.327560224696875	0.518417064342513	1	1	810	1
Human Diseases	Infectious disease: parasitic	hsa05142	Chagas disease	1/63	102/8790	0.00980392156862745	1.36788048552754	0.31750783725126	0.521908803892107	1	1	5522	1
Human Diseases	Infectious disease: parasitic	hsa05146	Amoebiasis	1/63	102/8790	0.00980392156862745	1.36788048552754	0.31750783725126	0.521908803892107	1	1	6318	1
Genetic Information Processing	Translation	hsa03015	mRNA surveillance pathway	1/63	103/8790	0.00970873786407767	1.35460009246417	0.30756015073939	0.525375625410846	1	1	5522	1
Organismal Systems	Digestive system	hsa04974	Protein digestion and absorption	1/63	103/8790	0.00970873786407767	1.35460009246417	0.30756015073939	0.525375625410846	1	1	1301	1
Organismal Systems	Immune system	hsa04625	C-type lectin receptor signaling pathway	1/63	105/8790	0.00952380952380952	1.32879818594104	0.287969617734449	0.532235213043434	1	1	810	1
Human Diseases	Cancer: specific types	hsa05215	Prostate cancer	1/63	106/8790	0.00943396226415094	1.3162623539982	0.278322324792839	0.535628325487679	1	1	4314	1
Organismal Systems	Endocrine system	hsa04922	Glucagon signaling pathway	1/63	107/8790	0.00934579439252336	1.30396083667112	0.268770833776111	0.538997212578222	1	1	810	1
Environmental Information Processing	Signal transduction	hsa04350	TGF-beta signaling pathway	1/63	109/8790	0.00917431192660551	1.28003494975972	0.249947114070406	0.545662990275979	1	1	5308	1
Organismal Systems	Endocrine system	hsa04914	Progesterone-mediated oocyte maturation	1/63	110/8790	0.00909090909090909	1.26839826839827	0.240670970125052	0.548960217739706	1	1	995	1
Organismal Systems	Nervous system	hsa04724	Glutamatergic synapse	1/63	116/8790	0.00862068965517241	1.20279146141215	0.186799826985451	0.568254752115783	1	1	2792	1
