category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Metabolism	Amino acid metabolism	hsa00280	Valine, leucine and isoleucine degradation	1/142	48/8790	0.0208333333333333	1.28961267605634	0.257803523151633	0.543366019850843	1	1	3158	1
Genetic Information Processing	Information processing in viruses	hsa03272	Virion - Hepatitis viruses	1/142	48/8790	0.0208333333333333	1.28961267605634	0.257803523151633	0.543366019850843	1	1	51208	1
Metabolism	Carbohydrate metabolism	hsa00620	Pyruvate metabolism	1/142	49/8790	0.0204081632653061	1.26329405001437	0.236817934415239	0.550783318544641	1	1	125	1
Metabolism	Lipid metabolism	hsa00565	Ether lipid metabolism	1/142	51/8790	0.0196078431372549	1.21375310687655	0.196165540034874	0.565260889873911	1	1	5319	1
Organismal Systems	Digestive system	hsa04979	Cholesterol metabolism	1/142	52/8790	0.0192307692307692	1.19041170097508	0.176459623493797	0.572324965127132	1	1	350	1
Environmental Information Processing	Signal transduction	hsa04668	TNF signaling pathway	2/142	119/8790	0.0168067226890756	1.04035980589419	0.0567994356196189	0.576449729103073	1	1	4314/2277	2
Environmental Information Processing	Signal transduction	hsa04152	AMPK signaling pathway	2/142	122/8790	0.0163934426229508	1.01477718771646	0.0210604825719109	0.590072400505773	1	1	148/5522	2
Organismal Systems	Endocrine system	hsa04935	Growth hormone synthesis, secretion and action	2/142	122/8790	0.0163934426229508	1.01477718771646	0.0210604825719109	0.590072400505773	1	1	779/114	2
Human Diseases	Substance dependence	hsa05034	Alcoholism	3/142	189/8790	0.0158730158730159	0.982562038900067	-0.0310533313014629	0.593021464850119	1	1	2792/810/8345	3
Organismal Systems	Immune system	hsa04611	Platelet activation	2/142	126/8790	0.0158730158730159	0.982562038900067	-0.025262586829077	0.607730180369709	1	1	2815/114	2
Cellular Processes	Cell motility	hsa04814	Motor proteins	3/142	194/8790	0.0154639175257732	0.95723827501089	-0.0771727438384278	0.610820603182326	1	1	7134/10381/4620	3
Organismal Systems	Nervous system	hsa04730	Long-term depression	1/142	60/8790	0.0166666666666667	1.03169014084507	0.0315608533086331	0.624883792761324	1	1	2890	1
Organismal Systems	Aging	hsa04213	Longevity regulating pathway - multiple species	1/142	61/8790	0.0163934426229508	1.01477718771646	0.0148398846421589	0.630985339316638	1	1	114	1
Metabolism	Lipid metabolism	hsa00590	Arachidonic acid metabolism	1/142	62/8790	0.0161290322580645	0.998409813721036	-0.00161006178355751	0.636988327266808	1	1	5319	1
Environmental Information Processing	Signal transduction	hsa04330	Notch signaling pathway	1/142	63/8790	0.0158730158730159	0.982562038900067	-0.0177987521387576	0.642894337524383	1	1	10683	1
Human Diseases	Cancer: specific types	hsa05217	Basal cell carcinoma	1/142	63/8790	0.0158730158730159	0.982562038900067	-0.0177987521387576	0.642894337524383	1	1	64399	1
Human Diseases	Immune disease	hsa05322	Systemic lupus erythematosus	2/142	135/8790	0.0148148148148148	0.917057902973396	-0.124441266801265	0.645350255300173	1	1	732/8345	2
Human Diseases	Neurodegenerative disease	hsa05020	Prion disease	4/142	275/8790	0.0145454545454545	0.900384122919334	-0.215059507958926	0.653867570917129	1	1	779/10381/859/732	4
Metabolism	Carbohydrate metabolism	hsa00010	Glycolysis / Gluconeogenesis	1/142	67/8790	0.0149253731343284	0.923901618667227	-0.0801190789842566	0.665579346894661	1	1	125	1
Human Diseases	Cancer: overview	hsa05204	Chemical carcinogenesis - DNA adducts	1/142	67/8790	0.0149253731343284	0.923901618667227	-0.0801190789842566	0.665579346894661	1	1	1544	1
Human Diseases	Cardiovascular disease	hsa05418	Fluid shear stress and atherosclerosis	2/142	141/8790	0.0141843971631206	0.878034162421337	-0.187077205658343	0.668823467972776	1	1	810/859	2
Human Diseases	Infectious disease: viral	hsa05170	Human immunodeficiency virus 1 infection	3/142	212/8790	0.0141509433962264	0.875963327132607	-0.23425079947624	0.670539996963618	1	1	995/2792/810	3
Organismal Systems	Endocrine system	hsa04917	Prolactin signaling pathway	1/142	71/8790	0.0140845070422535	0.871850823249355	-0.138920942163694	0.68683280384021	1	1	1586	1
Human Diseases	Cancer: specific types	hsa05224	Breast cancer	2/142	148/8790	0.0135135135135135	0.836505519604111	-0.257029449488677	0.694617882450685	1	1	10683/2255	2
Human Diseases	Cancer: specific types	hsa05218	Melanoma	1/142	73/8790	0.0136986301369863	0.847964499324716	-0.16713945421673	0.696950965930165	1	1	2255	1
Human Diseases	Cancer: specific types	hsa05223	Non-small cell lung cancer	1/142	73/8790	0.0136986301369863	0.847964499324716	-0.16713945421673	0.696950965930165	1	1	6258	1
Metabolism	Global and overview maps	hsa01230	Biosynthesis of amino acids	1/142	75/8790	0.0133333333333333	0.825352112676056	-0.194632937088483	0.706744447079137	1	1	5009	1
Cellular Processes	Cell growth and death	hsa04115	p53 signaling pathway	1/142	75/8790	0.0133333333333333	0.825352112676056	-0.194632937088483	0.706744447079137	1	1	5268	1
Organismal Systems	Endocrine system	hsa04918	Thyroid hormone synthesis	1/142	75/8790	0.0133333333333333	0.825352112676056	-0.194632937088483	0.706744447079137	1	1	114	1
Metabolism	Global and overview maps	hsa01240	Biosynthesis of cofactors	2/142	152/8790	0.0131578947368421	0.814492216456635	-0.295619715398494	0.708605284912835	1	1	212/250	2
Human Diseases	Infectious disease: viral	hsa05163	Human cytomegalovirus infection	3/142	225/8790	0.0133333333333333	0.825352112676056	-0.340053285945107	0.709366087367322	1	1	2792/810/114	3
Human Diseases	Infectious disease: bacterial	hsa05133	Pertussis	1/142	76/8790	0.0131578947368421	0.814492216456635	-0.208121150860061	0.711522678692993	1	1	810	1
Human Diseases	Cancer: specific types	hsa05214	Glioma	1/142	76/8790	0.0131578947368421	0.814492216456635	-0.208121150860061	0.711522678692993	1	1	810	1
Metabolism	Carbohydrate metabolism	hsa00562	Inositol phosphate metabolism	1/142	78/8790	0.0128205128205128	0.793607800650054	-0.234605241559435	0.72084843656084	1	1	55586	1
Organismal Systems	Nervous system	hsa04721	Synaptic vesicle cycle	1/142	78/8790	0.0128205128205128	0.793607800650054	-0.234605241559435	0.72084843656084	1	1	6532	1
Human Diseases	Infectious disease: bacterial	hsa05100	Bacterial invasion of epithelial cells	1/142	78/8790	0.0128205128205128	0.793607800650054	-0.234605241559435	0.72084843656084	1	1	859	1
Human Diseases	Infectious disease: viral	hsa05160	Hepatitis C	2/142	156/8790	0.0128205128205128	0.793607800650054	-0.333277212299053	0.722058309999811	1	1	51208/5522	2
Environmental Information Processing	Signaling molecules and interaction	hsa04514	Cell adhesion molecule (CAM) interaction	2/142	157/8790	0.0127388535031847	0.788552973894321	-0.34255207382438	0.72533936929689	1	1	22854/51208	2
Organismal Systems	Immune system	hsa04623	Cytosolic DNA-sensing pathway	1/142	82/8790	0.0121951219512195	0.754895225008588	-0.28572980972029	0.738611228288478	1	1	58511	1
Environmental Information Processing	Signal transduction	hsa04012	ErbB signaling pathway	1/142	85/8790	0.0117647058823529	0.728251864125932	-0.322587632122491	0.751192540784937	1	1	10718	1
Human Diseases	Neurodegenerative disease	hsa05010	Alzheimer disease	5/142	388/8790	0.0128865979381443	0.797698562509075	-0.52225133269012	0.757687507582706	1	1	1128/810/779/10381/177	5
Environmental Information Processing	Signal transduction	hsa04630	JAK-STAT signaling pathway	2/142	168/8790	0.0119047619047619	0.73692152917505	-0.44115581114574	0.75932688054674	1	1	116379/1440	2
Human Diseases	Infectious disease: bacterial	hsa05150	Staphylococcus aureus infection	1/142	88/8790	0.0113636363636364	0.70342509603073	-0.358279747112881	0.763172342380411	1	1	3868	1
Cellular Processes	Cellular community - eukaryotes	hsa04530	Tight junction	2/142	170/8790	0.0117647058823529	0.728251864125932	-0.458451571061573	0.76510392768782	1	1	51208/5522	2
Organismal Systems	Aging	hsa04211	Longevity regulating pathway	1/142	89/8790	0.0112359550561798	0.69552144326634	-0.369933102945262	0.767036916889947	1	1	114	1
Organismal Systems	Immune system	hsa04658	Th1 and Th2 cell differentiation	1/142	90/8790	0.0111111111111111	0.687793427230047	-0.381469424563869	0.770838865838531	1	1	10683	1
Cellular Processes	Transport and catabolism	hsa04144	Endocytosis	3/142	249/8790	0.0120481927710843	0.745800101815714	-0.521406869701265	0.771743899156215	1	1	6456/859/2352	3
Cellular Processes	Transport and catabolism	hsa04145	Phagocytosis	3/142	252/8790	0.0119047619047619	0.73692152917505	-0.542954663791032	0.778724050582936	1	1	10381/250/10332	3
Human Diseases	Infectious disease: bacterial	hsa05152	Tuberculosis	2/142	176/8790	0.0113636363636364	0.70342509603073	-0.509265624934401	0.781723196354332	1	1	810/10332	2
Human Diseases	Cancer: specific types	hsa05222	Small cell lung cancer	1/142	93/8790	0.010752688172043	0.665606542480691	-0.415403905172037	0.781878956735698	1	1	6258	1
Human Diseases	Infectious disease: viral	hsa05165	Human papillomavirus infection	4/142	332/8790	0.0120481927710843	0.745800101815714	-0.605015690307339	0.790089142705713	1	1	7015/7143/3381/5522	4
