from	to	score
NGFR	EGF	0.000891
NGFR	APP	0.000959
NGFR	NTRK2	0.00099
NGFR	BDNF	0.000999
NGFR	NTRK1	0.000999
DRD4	ADH7	0.000406
DRD4	POMC	0.000419
DRD4	DDC	0.000428
DRD4	HTR7	0.000441
DRD4	PPP1R1B	0.000444
DRD4	ADRA1B	0.000447
DRD4	HTR2C	0.000448
DRD4	CHRNB2	0.00045
DRD4	OXT	0.000451
DRD4	ADRA1D	0.000452
DRD4	LEP	0.000457
DRD4	CHRNA3	0.000463
DRD4	ADRB2	0.000477
DRD4	CHRNA5	0.000481
DRD4	GRIN2B	0.000482
DRD4	GRIN1	0.000483
DRD4	CHRNB4	0.000493
DRD4	HTR3A	0.000509
DRD4	HTR3B	0.00051
DRD4	KCNJ5	0.00051
DRD4	CHRM2	0.000523
DRD4	AGT	0.00055
DRD4	ADH1B	0.000556
DRD4	ARRB1	0.000557
DRD4	GABRA2	0.000562
DRD4	KCNJ3	0.000567
DRD4	ALDH2	0.000619
DRD4	MTHFR	0.000629
DRD4	SLC6A2	0.000645
DRD4	DAOA	0.000649
DRD4	AVPR1A	0.000649
DRD4	SNAP25	0.000658
DRD4	TPH2	0.00068
DRD4	OXTR	0.00068
DRD4	GNG12	0.000689
DRD4	LRTOMT	0.000698
DRD4	GNG8	7e-04
DRD4	GNG10	0.000701
DRD4	TH	0.000708
DRD4	ARRB2	0.000714
DRD4	GNG4	0.000719
DRD4	GNG11	0.000732
DRD4	CHRNA4	0.000732
DRD4	ANKK1	0.000783
DRD4	DBH	0.000784
DRD4	MAOB	0.000785
DRD4	TPH1	0.000805
DRD4	DRD2	0.000816
DRD4	BDNF	0.000817
DRD4	GNB3	0.000837
DRD4	MAOA	0.000892
DRD4	COMT	0.000942
DRD4	DRD3	0.000943
DRD4	SLC6A3	0.00096
DRD4	SLC6A4	0.000978
FGF20	CRP	4e-04
FGF20	FGF5	0.000413
FGF20	FGF16	0.000416
FGF20	VEGFB	0.000418
FGF20	TIE1	0.000421
FGF20	PTHLH	0.000424
FGF20	ITGB1	0.000425
FGF20	WNT4	0.000428
FGF20	AXIN1	0.000428
FGF20	SMIM3	0.000429
FGF20	OTX2	0.000432
FGF20	AXIN2	0.000435
FGF20	RSPO1	0.000437
FGF20	PTCH1	0.00044
FGF20	PPARG	0.000444
FGF20	LEP	0.000445
FGF20	NKX2-5	0.000446
FGF20	VGF	0.000446
FGF20	ENPP1	0.000447
FGF20	ACAN	0.000448
FGF20	NOS3	0.000449
FGF20	LEF1	0.000451
FGF20	ACKR1	0.000452
FGF20	NDST1	0.000453
FGF20	CYP7A1	0.000455
FGF20	WNT1	0.000463
FGF20	VWF	0.000464
FGF20	DKK4	0.000464
FGF20	WNT5A	0.000464
FGF20	ADORA2A	0.000467
FGF20	HNF4A	0.000471
FGF20	SERPINE1	0.000472
FGF20	VCAM1	0.000475
FGF20	FGF17	0.000475
FGF20	VTN	0.000476
FGF20	ICAM1	0.000476
FGF20	THBS1	0.000477
FGF20	PTPRZ1	0.000477
FGF20	VEGFD	0.000489
FGF20	SMO	0.00049
FGF20	FGF22	0.000492
FGF20	FGF7	0.000495
FGF20	PLAT	0.000495
FGF20	S100A13	0.000497
FGF20	CDH5	0.000498
FGF20	FGF10	5e-04
FGF20	PXDN	0.000504
FGF20	PXDNL	0.000504
FGF20	GLI1	0.000506
FGF20	BGLAP	0.000506
FGF20	DKK1	0.000508
FGF20	ANGPT2	0.000509
FGF20	PLG	0.000511
FGF20	FGF3	0.000511
FGF20	RPS27A	0.000514
FGF20	FGF8	0.000515
FGF20	UBA52	0.000517
FGF20	EDN1	0.000518
FGF20	IRS1	0.000526
FGF20	RUNX2	0.000529
FGF20	SERPINC1	0.000536
FGF20	NOG	0.00054
FGF20	ENG	0.00054
FGF20	VEGFC	0.000549
FGF20	WNT3A	0.00055
FGF20	IHH	0.00055
FGF20	FGF18	0.000551
FGF20	GAPDH	0.000552
FGF20	NID1	0.000552
FGF20	SOX9	0.000555
FGF20	SNCA	0.000556
FGF20	CD34	0.000558
FGF20	APOE	0.000569
FGF20	FGF2	0.000574
FGF20	IL10	0.000583
FGF20	ANGPT1	0.000586
FGF20	TGFA	0.000591
FGF20	CALML4	0.000594
FGF20	CALML6	0.000595
FGF20	IL1A	0.000596
FGF20	CALML5	0.000599
FGF20	MMP9	6e-04
FGF20	CALML3	6e-04
FGF20	ADIPOQ	0.000602
FGF20	CCN2	0.000602
FGF20	BMP7	0.000605
FGF20	PGF	0.000609
FGF20	CCL2	0.00062
FGF20	AGT	0.000648
FGF20	TNF	0.000651
FGF20	BDNF	0.000661
FGF20	PTX3	0.000668
FGF20	IL1B	0.00067
FGF20	FGF1	0.000671
FGF20	CTNNB1	0.000684
FGF20	COL18A1	0.000685
FGF20	AKT1	0.000686
FGF20	KRAS	0.000688
FGF20	BMP4	0.00069
FGF20	IL6	0.000702
FGF20	EPHA2	0.000728
FGF20	PECAM1	0.000741
FGF20	ALB	0.000746
FGF20	CXCL8	0.000752
FGF20	SDC1	0.000761
FGF20	ERBB4	0.000765
FGF20	NTRK2	0.000766
FGF20	BMP2	0.000769
FGF20	FGFRL1	0.000769
FGF20	IGF1	0.00077
FGF20	ERBB3	0.000773
FGF20	FGF9	0.000794
FGF20	FN1	0.000797
FGF20	CSF1R	0.000801
FGF20	FLT3	0.000801
FGF20	INSR	0.000815
FGF20	INS	0.000817
FGF20	TGFB1	0.000821
FGF20	NRP1	0.000822
FGF20	ERBB2	0.000828
FGF20	SHH	0.00083
FGF20	TEK	0.000848
FGF20	KIT	0.00085
FGF20	PDGFRA	0.000855
