category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Organismal Systems	Environmental adaptation	hsa04714	Thermogenesis	1/79	234/8790	0.00427350427350427	0.475494969165855	-0.774410922747598	0.882488161705353	1	1	114	1
Cellular Processes	Transport and catabolism	hsa04142	Lysosome biogenesis	1/79	249/8790	0.00401606425702811	0.4468506939149	-0.843212343762598	0.897764199143477	1	1	58511	1
Human Diseases	Neurodegenerative disease	hsa05016	Huntington disease	1/79	307/8790	0.00325732899022801	0.362429390178535	-1.08285925910681	0.940468873800058	1	1	2890	1
Human Diseases	Infectious disease: viral	hsa05165	Human papillomavirus infection	1/79	332/8790	0.00301204819277108	0.335138020436175	-1.17602342048046	0.952900764242005	1	1	7143	1
Metabolism	Carbohydrate metabolism	hsa00020	Citrate cycle (TCA cycle)	0/79	30/8790	0	0	-0.522465773512612	1	1	1		0
Metabolism	Carbohydrate metabolism	hsa00030	Pentose phosphate pathway	0/79	31/8790	0	0	-0.531132473148405	1	1	1		0
Metabolism	Carbohydrate metabolism	hsa00040	Pentose and glucuronate interconversions	0/79	35/8790	0	0	-0.564488655009512	1	1	1		0
Metabolism	Carbohydrate metabolism	hsa00051	Fructose and mannose metabolism	0/79	36/8790	0	0	-0.572528684407132	1	1	1		0
Metabolism	Carbohydrate metabolism	hsa00052	Galactose metabolism	0/79	32/8790	0	0	-0.539661939368295	1	1	1		0
Metabolism	Carbohydrate metabolism	hsa00053	Ascorbate and aldarate metabolism	0/79	29/8790	0	0	-0.513654893354365	1	1	1		0
Metabolism	Lipid metabolism	hsa00061	Fatty acid biosynthesis	0/79	18/8790	0	0	-0.404423340466431	1	1	1		0
Metabolism	Lipid metabolism	hsa00062	Fatty acid elongation	0/79	28/8790	0	0	-0.504692280744699	1	1	1		0
Metabolism	Lipid metabolism	hsa00100	Steroid biosynthesis	0/79	20/8790	0	0	-0.426348237683507	1	1	1		0
